,index,pnl,pnl_long,tvr,long_num,short_num,long_pos,short_pos
0,2021-01-04,,,,0,0,0.0,0.0
1,2021-01-05,,-0.00025423080515643614,1.0,4021,0,1.0000000000000004,0.0
2,2021-01-06,0.0014746430797687284,0.002284040362143299,1.0628731573545889,2012,2011,1.0,-1.0
3,2021-01-07,-0.009755500605943565,-0.010022774613359459,1.180006789721761,2013,2012,1.0,-1.0
4,2021-01-08,0.004382474650745271,0.002354447899995363,0.7711477368273201,2014,2014,0.9999999999999999,-1.0
5,2021-01-11,-0.0029355273398599686,-0.001585972801866311,0.6942840312994808,2015,2016,1.0,-1.0
6,2021-01-12,0.002705991162148272,0.0037459510064096983,0.6916433382917768,2016,2016,1.0,-0.9999999999999999
7,2021-01-13,-0.0068778441149582635,-0.00491562107918183,0.7477885854897987,2016,2015,0.9999999999999999,-1.0
8,2021-01-14,0.0008647946804823145,0.0005919996386156831,0.9056502627055047,2018,2017,1.0,-0.9999999999999999
9,2021-01-15,0.0025951102409086605,-0.0009243459585221211,0.7882824218713211,2019,2018,1.0000000000000002,-0.9999999999999999
10,2021-01-18,0.0019635236982767264,0.0020217904109417,0.6321333169312436,2020,2018,1.0,-1.0
11,2021-01-19,-0.00657612974235318,-0.008244689204468528,0.6637040840458215,2020,2019,1.0,-1.0
12,2021-01-20,0.00548677284119299,0.0060710109493567165,0.6861238882465703,2020,2019,1.0,-1.0
13,2021-01-21,0.0017967511742648062,0.002300026559781237,0.7056595476066555,2021,2020,1.0,-1.0
14,2021-01-22,-0.003214146914329639,-0.003181342222456123,0.8438595455890943,2021,2020,1.0,-1.0
15,2021-01-25,-0.0008757153395769586,0.001135402950796142,0.6939750644311142,2021,2020,1.0,-0.9999999999999999
16,2021-01-26,0.003508308269205519,0.001695673611229848,0.5953112858630948,2022,2021,0.9999999999999999,-0.9999999999999999
17,2021-01-27,0.002258011114540093,0.0021533823383142496,0.6217940424666337,2024,2021,0.9999999999999999,-0.9999999999999999
18,2021-01-28,0.0013343686123166052,-0.00046293344411861537,0.7462176283514574,2024,2023,0.9999999999999999,-1.0000000000000002
19,2021-01-29,-0.0020110879383428686,-0.002342525673630389,0.8039872639404213,2026,2025,1.0,-1.0
20,2021-02-01,0.0018122528486451675,2.8428416883660018e-05,0.903196142290493,2027,2026,1.0,-1.0
21,2021-02-02,0.0031897344042151436,0.0023482749535525976,0.786479447631199,2028,2027,1.0,-1.0
22,2021-02-03,-0.0014295381701317604,-0.0005167636260442476,0.6980504035397701,2028,2027,0.9999999999999999,-0.9999999999999999
23,2021-02-04,-0.0021007050310962276,-0.0018759710792552522,0.7434212242879692,2030,2029,0.9999999999999999,-0.9999999999999999
24,2021-02-05,0.0013374385212597956,0.000888647203193392,0.7020078169193267,2031,2030,1.0,-1.0
25,2021-02-08,0.0008691613544671377,0.0005756531231522113,0.7371910484527948,2032,2031,1.0,-1.0
26,2021-02-09,0.0024109249994686633,0.0014492504448429325,0.730995503079925,2033,2032,1.0,-1.0
27,2021-02-10,-0.0016526898395418307,-0.0017606821947003456,0.6665271026651141,2033,2032,1.0,-1.0
28,2021-02-18,-0.0014483613723721579,0.0009454252277061002,0.7081241360604253,2034,2033,1.0,-1.0
29,2021-02-19,-0.001437755287301997,-0.005052276977896928,0.9547111608662258,2035,2033,1.0,-1.0
30,2021-02-22,-0.00014993972705316244,-0.005501553890601519,0.6079219800151037,2034,2033,1.0,-0.9999999999999998
31,2021-02-23,0.0024007523555548606,0.004406447729652372,0.8106969394896509,2037,2037,1.0,-1.0
32,2021-02-24,-0.004122553970189081,-0.007227361094527396,0.7748729890407475,2040,2039,1.0,-1.0
33,2021-02-25,-0.00013050484480937007,-0.0017502424604215645,0.6820592028110812,2042,2041,1.0,-1.0
34,2021-02-26,-0.001334793036547057,-0.0026809885803443703,0.6694174322728714,2042,2041,1.0,-1.0
35,2021-03-01,0.0001775072505591814,-7.091893431470514e-05,0.710330516737822,2042,2041,1.0,-1.0
36,2021-03-02,0.0003137992800925438,4.725834318391152e-05,0.8253713768676098,2041,2040,1.0,-1.0000000000000002
37,2021-03-03,0.0016366781755054027,0.0020905026237147753,0.8161810124080294,2043,2042,1.0,-1.0
38,2021-03-04,0.003507274592220014,0.0017900667217726728,0.8383242037490768,2043,2042,1.0,-1.0000000000000002
39,2021-03-05,0.0014878868116438328,0.0009381743346354027,0.776210714042181,2045,2044,1.0,-0.9999999999999999
40,2021-03-08,0.0019523281613415284,0.0008995647139117893,0.7284470695594589,2047,2045,1.0,-1.0
41,2021-03-09,-0.0009789312728662389,-0.002544141359777541,0.7966514323851633,2048,2047,1.0,-1.0
42,2021-03-10,-0.0025145068773224487,-0.002890546213867407,0.7998674505261654,2048,2047,1.0,-1.0
43,2021-03-11,0.0023591856839928187,0.0007650107931030901,0.8472187561785545,2050,2048,1.0,-1.0
44,2021-03-12,0.000276736467162542,0.0002826378144880166,0.7648232429895905,2049,2048,1.0,-1.0000000000000002
45,2021-03-15,-0.0008061519555203238,-0.0012240170883942528,0.7987707378729512,2049,2048,1.0,-1.0
46,2021-03-16,0.004077720673401464,0.0033323123952817384,0.6570339923256515,2050,2050,1.0,-1.0
47,2021-03-17,0.003476681439710935,0.002927535154698095,0.7462547071707663,2052,2050,1.0,-0.9999999999999999
48,2021-03-18,-0.0008557900201525319,-0.0005997574777746213,0.8588143664334623,2052,2051,1.0,-1.0000000000000002
49,2021-03-19,-0.00023191853296624472,-0.00033204675687553437,0.800504109786799,2053,2052,1.0,-0.9999999999999998
50,2021-03-22,0.002329953771912323,0.0019623021010223597,0.8307147882258488,2053,2053,1.0,-1.0
51,2021-03-23,-0.004502399127287848,-0.0054515238590171315,0.7662903610975088,2053,2052,1.0,-1.0
52,2021-03-24,-0.0012144190363756187,-0.0014329831527249174,0.6938977198284255,2054,2053,1.0000000000000002,-0.9999999999999999
53,2021-03-25,0.0032030713648370616,0.003003998497443242,0.6699140569334391,2054,2053,1.0,-1.0
54,2021-03-26,0.004596814448518603,0.004643956909215624,0.7324186155003231,2055,2054,1.0,-1.0
55,2021-03-29,0.0010310338372784417,0.0009166506192832046,0.7582070162986385,2056,2055,1.0,-0.9999999999999998
56,2021-03-30,-0.0031086521287567986,-0.0030596256940684415,0.8085704923525785,2058,2057,1.0,-0.9999999999999998
57,2021-03-31,0.005102378829155246,0.004402886485457096,0.7613255027965478,2058,2057,1.0,-1.0
58,2021-04-01,-0.0006994757255944025,-0.000766982909035277,0.7004741515029671,2059,2058,1.0,-1.0
59,2021-04-02,0.002333368077134095,0.002181815181848838,0.6668781499588674,2060,2059,1.0,-1.0
60,2021-04-06,0.0026167652562538034,0.0024248962616310182,0.7017683576708027,2062,2061,0.9999999999999999,-0.9999999999999998
61,2021-04-07,-0.0016099650175029478,-0.0016618857813776203,0.7925418212447854,2064,2063,1.0000000000000002,-0.9999999999999999
62,2021-04-08,0.0017862192426202198,0.0019382481146128028,0.7510422779076835,2065,2064,1.0,-1.0
63,2021-04-09,-0.0008335620546804094,-0.001236857228442433,0.7823865127634877,2066,2065,1.0,-1.0
64,2021-04-12,0.0017152710801017143,0.00162080296097342,0.717727216183585,2067,2066,1.0,-0.9999999999999999
65,2021-04-13,0.00212485050278176,0.0018811492709454591,0.7846915370010054,2067,2066,1.0,-1.0
66,2021-04-14,0.0021678863198993856,0.0019121063006405092,0.7843323510213134,2069,2068,1.0,-1.0
67,2021-04-15,0.0014156199931573397,0.0007882372601572505,0.771602239154655,2070,2069,0.9999999999999999,-0.9999999999999999
68,2021-04-16,0.0005610142178091738,0.0007468117467242415,0.7712182266225998,2071,2070,1.0,-0.9999999999999998
69,2021-04-19,0.001952227919659458,0.0015361934522350532,0.7197978396571487,2073,2072,1.0,-1.0
70,2021-04-20,0.0009509609499634914,0.0009093957767383459,0.7918734094913317,2075,2075,1.0,-1.0
71,2021-04-21,-0.001410254879631857,-0.0009557354721458607,0.7306472742845286,2077,2076,1.0,-1.0
72,2021-04-22,0.0014032676356644223,0.0010533096791100248,0.7513220050610502,2077,2076,1.0,-0.9999999999999999
73,2021-04-23,-0.0024431333153879685,-0.002958888368610666,0.7854801859506076,2079,2078,1.0,-1.0000000000000002
74,2021-04-26,0.0024545800062081217,0.0021123221499696728,0.7593009774721056,2079,2078,0.9999999999999999,-1.0
75,2021-04-27,-0.0017022999765776625,-0.0015662960787156711,0.7336528138872491,2081,2080,1.0,-0.9999999999999999
76,2021-04-28,0.0016726817056503863,0.0012038234477585808,0.7322202736399073,2083,2082,1.0,-1.0
77,2021-04-29,0.0018967168671879284,0.001153649370815686,0.7776508826857453,2085,2084,1.0,-1.0
78,2021-04-30,-0.0027445104547684177,-0.0016337438871289137,0.7668367239660583,2086,2085,1.0,-1.0
79,2021-05-06,-0.0010360497333227023,-0.001418878428954883,0.7484537343762245,2093,2078,1.0,-0.9999999999999999
80,2021-05-07,-0.004338485762820973,-0.00468001731564394,0.7288875779997405,2087,2086,1.0,-1.0
81,2021-05-10,-0.004382823781089856,-0.004175735461271598,0.6791165961844977,2089,2088,1.0,-0.9999999999999999
82,2021-05-11,0.003472973882107221,0.0018830081554054778,0.6276632619705877,2090,2089,1.0,-1.0
83,2021-05-12,0.0014727049735090434,0.000976831004301671,0.7166244266436554,2092,2091,0.9999999999999999,-0.9999999999999998
84,2021-05-13,0.003725538875984347,0.0040015897322959425,0.703571051939583,2093,2092,1.0,-1.0
85,2021-05-14,0.001326982949028858,0.0011065291708040222,0.763453771190618,2095,2094,1.0,-1.0
86,2021-05-17,0.0060757662593999015,0.005421803970954977,0.7559498930655344,2096,2095,1.0,-1.0
87,2021-05-18,0.0019251237656636175,0.0019054550862065266,0.771737601598343,2096,2095,1.0,-0.9999999999999999
88,2021-05-19,-0.0021787195826797412,-0.002624811720171179,0.655605355096159,2098,2097,1.0,-1.0
89,2021-05-20,-0.001340151696271859,-0.001210877590060135,0.6487500280805228,2100,2099,1.0,-1.0
90,2021-05-21,0.005526160861551797,0.005535879184517964,0.6503387025264027,2102,2101,1.0,-1.0
91,2021-05-24,0.002709877462879162,0.0022445935453073544,0.7759353824986979,2102,2101,1.0,-1.0
92,2021-05-25,0.003397464235771452,0.0025788056888292506,0.8558518197643228,2103,2102,1.0000000000000002,-1.0
93,2021-05-26,0.0014793625927477828,0.0012695325517883159,0.7499728945812518,2104,2103,1.0,-1.0
94,2021-05-27,0.0028113784481935415,0.0022953412071837747,0.8296957413549466,2105,2104,1.0,-1.0
95,2021-05-28,0.0005009555261620011,0.000357307424383585,0.7543285174393779,2106,2105,1.0,-1.0
96,2021-05-31,0.001389529424974484,0.0027529865938015416,0.750415309093147,2107,2106,0.9999999999999999,-1.0
