,index,pnl,pnl_long,tvr,long_num,short_num,long_pos,short_pos
0,2021-01-04,,,,0,0,0.0,0.0
1,2021-01-05,0.00037625077243385143,0.0002767445050970625,1.0,2001,2000,0.9999999999999999,-1.0
2,2021-01-06,0.004409594503869788,0.0042395404696597885,0.6843697027610072,2001,2000,1.0,-1.0
3,2021-01-07,-0.003379519151735481,-0.0007182923592768849,0.6712686884169358,2003,2002,1.0000000000000002,-1.0
4,2021-01-08,0.0006487669304264436,-0.0015857077105630737,0.6673533491525316,2004,2003,1.0,-1.0
5,2021-01-11,-0.006322145393015687,-0.006261628251912281,0.6617635752172665,2006,2005,1.0,-0.9999999999999999
6,2021-01-12,0.0016103323806541904,0.002711050008681593,0.5437387930629436,2007,2006,1.0,-1.0
7,2021-01-13,-0.00763555072479042,-0.00733837100044582,0.5435243595969554,2009,2008,0.9999999999999999,-1.0
8,2021-01-14,-0.0023024988839051574,-0.005545510785481518,0.5649989538528447,2011,2010,1.0,-1.0
9,2021-01-15,0.00382270827885425,0.0012241046845237122,0.6230539485641202,2012,2011,1.0,-1.0
10,2021-01-18,0.0010455190321964937,0.0023500431236967434,0.7219593969058299,2013,2012,0.9999999999999999,-1.0
11,2021-01-19,-0.004436353856955802,-0.006761894190590691,0.5701142912474282,2014,2013,1.0,-1.0
12,2021-01-20,0.004108660750121728,0.004908779464394223,0.6370457249215635,2016,2015,1.0000000000000002,-1.0
13,2021-01-21,0.0033244006762245433,0.003604135430293205,0.61154700681915,2016,2015,1.0,-1.0
14,2021-01-22,-0.002874943800760338,-0.0031311875540343363,0.6295508496617617,2016,2015,1.0,-1.0
15,2021-01-25,0.001989123770574628,0.003159255554029086,0.6090551296652574,2018,2017,0.9999999999999998,-1.0
16,2021-01-26,-0.0024862491833972473,-0.0037736837284572493,0.6156872655049993,2019,2018,0.9999999999999999,-1.0
17,2021-01-27,0.0006320241069950328,-0.0002448565707848585,0.6232649343157498,2019,2018,0.9999999999999999,-1.0
18,2021-01-28,-0.000897002135693219,-0.002127000552079162,0.5833136670869773,2020,2019,0.9999999999999999,-1.0
19,2021-01-29,0.001049599841160754,-0.0004430171747966359,0.5523373350678241,2020,2019,1.0,-1.0
20,2021-02-01,0.0029946701685867076,0.0029432976422586223,0.5582008696069652,2021,2020,1.0,-1.0
21,2021-02-02,0.002345085702364419,0.002612530432158185,0.7001642706523056,2021,2020,1.0,-1.0
22,2021-02-03,-0.0036608723696792108,-0.0037812045391506476,0.74182633647963,2021,2020,1.0,-1.0
23,2021-02-04,-0.002326699657580632,-0.00033167821034691194,0.6308843386353429,2022,2021,1.0,-1.0
24,2021-02-05,-0.00014217911072960786,-0.0021863729636470517,0.588925480198101,2023,2022,1.0,-0.9999999999999999
25,2021-02-08,-0.0017003432394134274,-0.001630657716295309,0.6386047556122563,2024,2023,1.0,-1.0
