,zxt001,zxt002,zxt003,zxt004,zxt005,zxt006,zxt007,zxt009,zxt010
zxt001,1.0,0.11436345109110467,0.07458835028130707,0.04153973392677669,0.048922347271250395,0.06769598965796143,0.1127141890183729,0.005062322905289359,0.15550386775955571
zxt002,0.11436345109110467,1.0,0.36068858115224683,0.10672896996345765,-0.20045891397750784,0.21166158590996614,0.03748281058485087,0.045398568222242336,-0.02192454079966596
zxt003,0.07458835028130707,0.36068858115224683,1.0,0.0904973921453995,-0.0938739077194051,0.3112177554071842,0.022746310985361156,-0.004808619124598596,-0.015512579763036695
zxt004,0.04153973392677669,0.10672896996345765,0.0904973921453995,1.0,-0.025780548537018288,0.08635773951515749,0.02959156176722291,0.2919363240892318,0.0025917291720026197
zxt005,0.048922347271250395,-0.20045891397750784,-0.0938739077194051,-0.025780548537018288,1.0,0.018527758970018748,0.01717282605653188,0.005381063795264988,0.056827988341043065
zxt006,0.06769598965796143,0.21166158590996614,0.3112177554071842,0.08635773951515749,0.018527758970018748,1.0,0.09523402379845781,-0.011022948985285238,-0.007792106067719683
zxt007,0.1127141890183729,0.03748281058485087,0.022746310985361156,0.02959156176722291,0.01717282605653188,0.09523402379845781,1.0,-0.0025982309377522704,0.06862273594401307
zxt009,0.005062322905289359,0.045398568222242336,-0.004808619124598596,0.2919363240892318,0.005381063795264988,-0.011022948985285238,-0.0025982309377522704,1.0,-0.0011331353273254553
zxt010,0.15550386775955571,-0.02192454079966596,-0.015512579763036695,0.0025917291720026197,0.056827988341043065,-0.007792106067719683,0.06862273594401307,-0.0011331353273254553,1.0
