,index,pnl,pnl_long,tvr,long_num,short_num,long_pos,short_pos
0,2021-01-04,,,,0,0,0.0,0.0
1,2021-01-05,0.001722755886636378,0.0011857884583472296,1.0,1980,1979,1.0,-1.0000000000000002
2,2021-01-06,-0.0009721711258987142,-0.0006887234621314117,0.30670163638369236,1981,1980,0.9999999999999999,-1.0
3,2021-01-07,-0.006616105387853311,-0.006428446423834354,0.33554097752806034,1982,1981,1.0,-1.0
4,2021-01-08,0.0035750082649081086,0.004521680483973329,0.3133163430045926,1982,1981,1.0,-1.0
5,2021-01-11,-0.0024232433267097446,-0.00104046341774848,0.28135976337586033,1983,1982,1.0,-1.0
6,2021-01-12,-0.002248328090092823,-0.0017448247917597748,0.3163096038663147,1983,1982,1.0,-1.0
7,2021-01-13,-0.0019348743037468094,-0.00041392958931731755,0.3110401879485933,1983,1982,1.0,-1.0
8,2021-01-14,0.00655266578510631,0.005366750869377997,0.2675909839995116,1984,1983,1.0,-0.9999999999999999
9,2021-01-15,0.006111702375972986,0.0037960440072690033,0.29204935410162436,1986,1985,0.9999999999999999,-1.0
10,2021-01-18,-0.0006060354780124382,8.249755551617902e-05,0.31503326814058635,1986,1985,0.9999999999999999,-1.0
11,2021-01-19,0.004751219572194261,0.00251535121790557,0.30099704375016845,1987,1986,1.0,-1.0
12,2021-01-20,-0.0021526596353368386,-0.0013978120977629705,0.27756096170753286,1989,1988,1.0,-0.9999999999999999
13,2021-01-21,0.0020799310168193,0.00226806461117603,0.3255011867313966,1991,1990,0.9999999999999999,-1.0
14,2021-01-22,-0.0006500967112494814,0.000975958842717662,0.29398217177090263,1991,1990,1.0,-1.0000000000000002
15,2021-01-25,-8.951128528139531e-05,0.0010177003543511958,0.2935010887924172,1990,1989,0.9999999999999999,-1.0000000000000002
16,2021-01-26,-0.0013327397279532488,-0.0021873597930937468,0.32948902893551535,1992,1991,1.0,-1.0
17,2021-01-27,0.0006893008404363918,0.0003262201278281581,0.3115815540168165,1993,1992,1.0,-0.9999999999999998
18,2021-01-28,0.0008194235507288619,0.00015680938513484627,0.27552417279554586,1994,1993,1.0,-1.0
19,2021-01-29,-0.001858941612873373,-0.0025987672464036216,0.2815987407731009,1996,1995,1.0,-1.0
20,2021-02-01,-0.0006102585663496762,-0.0011106091204060413,0.2584242307959585,1995,1994,1.0,-1.0
21,2021-02-02,0.0018557178485991614,0.0027374479024683106,0.23695531207224427,1997,1996,1.0,-0.9999999999999999
22,2021-02-03,-0.004536427275881087,-0.0031583886848353046,0.31941055645549543,1998,1997,1.0,-1.0
23,2021-02-04,-0.0030713902104850498,-0.0018439497513703072,0.29170785041067426,1999,1998,1.0,-0.9999999999999999
24,2021-02-05,0.00346469322780644,0.003314563877287017,0.2664078062783253,2001,2000,1.0,-1.0
25,2021-02-08,-0.0023213952989000796,-0.00042246051453799873,0.23752850875261516,2003,2002,1.0000000000000002,-0.9999999999999999
26,2021-02-09,0.003079018130089777,0.003455998401818594,0.27200859655465137,2005,2004,1.0,-1.0
27,2021-02-10,0.00171144137657726,0.0025088163929609907,0.2709633620840236,2006,2005,0.9999999999999999,-1.0
28,2021-02-18,0.005019078305117927,0.003043883325490184,0.27521116809437735,2008,2007,0.9999999999999999,-1.0
29,2021-02-19,0.0075370079917532855,0.006919735928776774,0.28975875434178955,2009,2008,1.0,-1.0
30,2021-02-22,0.0038518571817961985,0.0035426898445259395,0.32176686563775975,2010,2009,1.0,-1.0
31,2021-02-23,-0.0018459540510234148,-0.0007087826358462813,0.2887655633501782,2011,2010,1.0,-1.0000000000000002
32,2021-02-24,0.00016217123350221845,-0.0019188767594693215,0.3023859297507242,2011,2010,1.0,-1.0
33,2021-02-25,0.00018113197889742597,-0.0011313010544451232,0.329518788174196,2011,2010,1.0,-1.0
34,2021-02-26,0.0012960807570079856,0.0009195965815225783,0.3249301953918614,2013,2012,1.0,-1.0
35,2021-03-01,0.0013357377635227052,0.001688313822604346,0.29822530464291763,2013,2012,1.0,-1.0
36,2021-03-02,0.0001872878990364672,-0.0004946217820882021,0.30435913742588294,2014,2013,1.0,-1.0
37,2021-03-03,0.0005130367132567303,0.0010574581160208412,0.27132351085271106,2014,2013,1.0,-0.9999999999999999
38,2021-03-04,-0.002787143720626009,-0.004538216265421186,0.2933474914423674,2015,2014,1.0,-1.0
39,2021-03-05,0.004600931226194021,0.003692864530378308,0.25820924259524863,2015,2014,0.9999999999999998,-1.0
40,2021-03-08,-0.002581345979118457,-0.004500775596387816,0.29404262956339566,2015,2014,0.9999999999999999,-1.0
41,2021-03-09,0.001450110102802788,0.0013540122106305078,0.31606657482390543,2016,2015,1.0000000000000002,-1.0
42,2021-03-10,0.0009621946272516824,0.0014851947130488617,0.29569844167484055,2017,2016,1.0,-1.0
