,index,pnl,pnl_long,tvr,long_num,short_num,long_pos,short_pos
0,2021-01-04,,,,0,0,0.0,0.0
1,2021-01-05,-0.0006676710065521989,-0.001439555498933394,1.0,2015,2014,1.0,-1.0
2,2021-01-06,-0.0028452100677839477,-0.0023672896629377965,0.24799809555726698,2016,2015,1.0,-1.0
3,2021-01-07,-0.007219401486376174,-0.007361248373222329,0.24915450727925598,2016,2015,1.0,-1.0
4,2021-01-08,0.0075688878097041525,0.007876164453956986,0.3469369618700822,2017,2016,1.0,-1.0
5,2021-01-11,-0.0005357126188900926,-0.0010890330853209167,0.23396299014710387,2019,2018,1.0,-1.0
6,2021-01-12,-0.004039095538262441,-0.0037845857862742168,0.2381274806207524,2019,2018,1.0,-1.0
7,2021-01-13,-0.0025941271678876256,-0.0028000795229672013,0.2011193761344109,2020,2019,1.0,-1.0
8,2021-01-14,0.011347127987825455,0.010297991136771961,0.21891888915173963,2020,2019,1.0,-1.0
9,2021-01-15,0.007966690285212633,0.008293350168693713,0.19620027775044685,2021,2020,1.0,-1.0
10,2021-01-18,-0.0007303661004044153,-0.0009205313266096513,0.1659324010882663,2021,2020,0.9999999999999999,-1.0
11,2021-01-19,0.009770458096243658,0.010045481716645053,0.17934418740413505,2021,2020,1.0,-1.0
12,2021-01-20,-0.0037043729489206856,-0.004869568143063103,0.166847380657281,2022,2021,1.0,-0.9999999999999999
13,2021-01-21,-0.000812322440368211,-0.0011996488254221657,0.18788433619681338,2023,2022,1.0,-1.0
14,2021-01-22,-0.00182669542647496,-0.003177734582539008,0.1736770714972515,2024,2023,1.0,-0.9999999999999998
15,2021-01-25,-0.005123611540285136,-0.005813346281808539,0.18880901975390585,2026,2025,1.0,-1.0
16,2021-01-26,0.0054390501125273424,0.0064083501218043714,0.20363861590219876,2027,2026,1.0,-0.9999999999999999
17,2021-01-27,0.0028210265063154916,0.0033489657041905095,0.20253580270191446,2028,2027,0.9999999999999999,-1.0
18,2021-01-28,0.0030017939636139343,0.003497830209936145,0.20095127258502665,2028,2027,1.0,-1.0
19,2021-01-29,-0.0013308417286351237,-0.0017738941001981465,0.20928209766161598,2030,2029,1.0,-1.0
20,2021-02-01,-0.0027178077988261303,-0.002972484752675192,0.28570690113600944,2031,2030,0.9999999999999999,-1.0
21,2021-02-02,0.0022933125425397584,0.001413620903631332,0.2651760304803578,2032,2031,1.0,-1.0
22,2021-02-03,-0.0018730168303429757,-0.0017393231326556166,0.29823919780424285,2033,2032,1.0,-1.0
23,2021-02-04,-0.0008146589671170334,-0.0009164320338361474,0.338076125353024,2033,2032,1.0,-1.0
24,2021-02-05,0.003906907966851654,0.0028868555007044126,0.37156785619522636,2034,2033,0.9999999999999999,-1.0
25,2021-02-08,3.8222249082221836e-05,-0.0005233470981656379,0.3001766454616476,2034,2033,1.0,-0.9999999999999999
26,2021-02-09,0.0007635917416616567,0.000590960459639786,0.24652470465153695,2035,2034,1.0,-1.0
27,2021-02-10,0.0011236153664556953,0.001185536942858379,0.21103449910130273,2037,2036,1.0,-1.0
28,2021-02-18,0.0032888677040066204,0.004307809323187016,0.21399034902554626,2040,2039,1.0,-1.0
29,2021-02-19,0.0019666996704743693,0.0026026828838870836,0.20264034438766065,2042,2041,1.0,-1.0
30,2021-02-22,0.001958185193072464,0.003507207320532616,0.23278047067222662,2042,2041,1.0,-0.9999999999999999
31,2021-02-23,-0.0020048660149889924,-0.002285037811862193,0.22190789690061896,2042,2041,1.0,-1.0
32,2021-02-24,0.0015088122813776785,0.0015163472337617126,0.21235579056060913,2042,2041,1.0,-1.0
33,2021-02-25,0.0020948189613703705,0.0016564971736897846,0.2320608202479101,2043,2042,1.0,-0.9999999999999999
34,2021-02-26,0.0015402770403017615,0.0011584642006443845,0.2443079214395376,2044,2043,1.0,-0.9999999999999999
